=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.19 10:06:13 =~=~=~=~=~=~=~=~=~=~=~=
Setup: Serial port communication at 9600bps
t:3.95,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:4.00,Throttle:1822,Theta:1.11,theta_d:0.00,Error:-1.11
t:4.05,Throttle:1830,Theta:0.55,theta_d:0.00,Error:-0.55
t:4.10,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:4.15,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:4.20,Throttle:1834,Theta:0.17,theta_d:0.00,Error:-0.17
t:4.25,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:4.30,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:4.35,Throttle:1824,Theta:0.92,theta_d:0.00,Error:-0.92
t:4.40,Throttle:1823,Theta:1.11,theta_d:0.00,Error:-1.11
t:4.45,Throttle:1833,Theta:0.36,theta_d:0.00,Error:-0.36
t:4.50,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:4.55,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:4.60,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:4.65,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:4.70,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:4.75,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:4.80,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:4.85,Throttle:1834,Theta:0.17,theta_d:0.00,Error:-0.17
t:4.90,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:4.95,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:5.00,Throttle:1824,Theta:0.92,theta_d:0.00,Error:-0.92
t:5.05,Throttle:1810,Theta:2.06,theta_d:0.00,Error:-2.06
t:5.10,Throttle:1832,Theta:0.55,theta_d:0.00,Error:-0.55
t:5.15,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:5.20,Throttle:1824,Theta:0.92,theta_d:0.00,Error:-0.92
t:5.25,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:5.30,Throttle:1835,Theta:0.17,theta_d:0.00,Error:-0.17
t:5.35,Throttle:1833,Theta:0.17,theta_d:0.00,Error:-0.17
t:5.40,Throttle:1833,Theta:0.17,theta_d:0.00,Error:-0.17
t:5.45,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:5.50,Throttle:1824,Theta:0.92,theta_d:0.00,Error:-0.92
t:5.55,Throttle:1828,Theta:0.74,theta_d:0.00,Error:-0.74
t:5.60,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:5.65,Throttle:1837,Theta:-0.02,theta_d:0.00,Error:0.02
t:5.70,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:5.75,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:5.80,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:5.85,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:5.90,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:5.95,Throttle:1828,Theta:0.74,theta_d:0.00,Error:-0.74
t:6.00,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:6.05,Throttle:1824,Theta:0.92,theta_d:0.00,Error:-0.92
t:6.10,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:6.15,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:6.20,Throttle:1830,Theta:0.55,theta_d:0.00,Error:-0.55
t:6.25,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:6.30,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:6.35,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:6.40,Throttle:1828,Theta:0.74,theta_d:0.00,Error:-0.74
t:6.45,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:6.50,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:6.55,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:6.60,Throttle:1818,Theta:1.49,theta_d:0.00,Error:-1.49
t:6.65,Throttle:1834,Theta:0.36,theta_d:0.00,Error:-0.36
t:6.70,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:6.75,Throttle:1824,Theta:0.92,theta_d:0.00,Error:-0.92
t:6.80,Throttle:1828,Theta:0.74,theta_d:0.00,Error:-0.74
t:6.85,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:6.90,Throttle:1835,Theta:0.17,theta_d:0.00,Error:-0.17
t:6.95,Throttle:1826,Theta:0.74,theta_d:0.00,Error:-0.74
t:7.00,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:7.05,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:7.10,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:7.15,Throttle:1830,Theta:0.55,theta_d:0.00,Error:-0.55
t:7.20,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:7.25,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
