=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.27 17:16:13 =~=~=~=~=~=~=~=~=~=~=~=
St558,Theta:2.29,theta_d:-15.00,Error:-17.-17.10
t:3.55,Throttle:1836,Theta:-25.83,theta_d:-15.00,Error:10.83
t:3.60,Throttle:1779,Theta:-20.74,theta_d:-15.00,Error:5.74
t:3.65,Throttle:1800,Theta:-22.06,theta_d:-15.00,Error:7.06
t:3.70,Throttle:1772,Theta:-19.23,theta_d:-15.00,Error:4.23
t:3.75,Throttle:1685,Theta:-10.36,theta_d:-15.00,Error:-4.64
t:3.80,Throttle:1664,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:3.85,Throttle:1671,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:3.90,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:3.95,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:4.00,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:4.05,Throttle:1671,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:4.10,Throttle:1671,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:4.15,Throttle:1668,Theta:-6.96,theta_d:-15.00,Error:-8.04
t:4.20,Throttle:1671,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:4.25,Throttle:1664,Theta:-6.58,theta_d:-15.00,Error:-8.42
t:4.30,Throttle:1672,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:4.35,Throttle:1671,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:4.40,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:4.45,Throttle:1663,Theta:-6.58,theta_d:-15.00,Error:-8.42
t:4.50,Throttle:1665,Theta:-6.58,theta_d:-15.00,Error:-8.42
t:4.55,Throttle:1674,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:4.60,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:4.65,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:4.70,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:4.75,Throttle:1675,Theta:-7.53,theta_d:-15.00,Error:-7.47
t:4.80,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:4.85,Throttle:1671,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:4.90,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:4.95,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
