=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.20 11:46:11 =~=~=~=~=~=~=~=~=~=~=~=
Setup: Serial port communication at 9600bps
t:0.00,Throttle:1950,Theta:-77.20,theta_d:0.00,Error:77.20
t:0.05,Throttle:1950,Theta:-75.13,theta_d:0.00,Error:75.13
t:0.10,Throttle:1950,Theta:-72.48,theta_d:0.00,Error:72.48
t:0.15,Throttle:1950,Theta:-63.05,theta_d:0.00,Error:63.05
t:0.20,Throttle:1950,Theta:-57.58,theta_d:0.00,Error:57.58
t:0.25,Throttle:1950,Theta:-49.84,theta_d:0.00,Error:49.84
t:0.30,Throttle:1950,Theta:-45.69,theta_d:0.00,Error:45.69
t:0.35,Throttle:1950,Theta:-35.31,theta_d:0.00,Error:35.31
t:0.40,Throttle:1974,Theta:-26.82,theta_d:0.00,Error:26.82
t:0.45,Throttle:1881,Theta:-13.42,theta_d:0.00,Error:13.42
t:0.50,Throttle:1721,Theta:3.19,theta_d:0.00,Error:-3.19
t:0.55,Throttle:1583,Theta:14.51,theta_d:0.00,Error:-14.51
t:0.60,Throttle:1280,Theta:28.85,theta_d:0.00,Error:-28.85
t:0.65,Throttle:1356,Theta:27.91,theta_d:0.00,Error:-27.91
t:0.70,Throttle:1495,Theta:22.06,theta_d:0.00,Error:-22.06
t:0.75,Throttle:1648,Theta:13.00,theta_d:0.00,Error:-13.00
t:0.80,Throttle:1654,Theta:11.49,theta_d:0.00,Error:-11.49
t:0.85,Throttle:1677,Theta:9.79,theta_d:0.00,Error:-9.79
t:0.90,Throttle:1613,Theta:13.57,theta_d:0.00,Error:-13.57
t:0.95,Throttle:1551,Theta:17.53,theta_d:0.00,Error:-17.53
t:1.00,Throttle:1456,Theta:22.63,theta_d:0.00,Error:-22.63
t:1.05,Throttle:1486,Theta:21.87,theta_d:0.00,Error:-21.87
t:1.10,Throttle:1553,Theta:18.47,theta_d:0.00,Error:-18.47
t:1.15,Throttle:1590,Theta:16.02,theta_d:0.00,Error:-16.02
t:1.20,Throttle:1648,Theta:12.25,theta_d:0.00,Error:-12.25
t:1.25,Throttle:1622,Theta:13.38,theta_d:0.00,Error:-13.38
t:1.30,Throttle:1655,Theta:11.49,theta_d:0.00,Error:-11.49
t:1.35,Throttle:1568,Theta:16.40,theta_d:0.00,Error:-16.40
t:1.40,Throttle:1618,Theta:14.13,theta_d:0.00,Error:-14.13
t:1.45,Throttle:1508,Theta:19.79,theta_d:0.00,Error:-19.79
t:1.50,Throttle:1569,Theta:17.34,theta_d:0.00,Error:-17.34
t:1.55,Throttle:1546,Theta:18.29,theta_d:0.00,Error:-18.29
t:1.60,Throttle:1583,Theta:16.40,theta_d:0.00,Error:-16.40
t:1.65,Throttle:1544,Theta:18.29,theta_d:0.00,Error:-18.29
t:1.70,Throttle:1625,Theta:13.94,theta_d:0.00,Error:-13.94
t:1.75,Throttle:1616,Theta:13.94,theta_d:0.00,Error:-13.94
t:1.80,Throttle:1647,Theta:12.06,theta_d:0.00,Error:-12.06
t:1.85,Throttle:1569,Theta:16.40,theta_d:0.00,Error:-16.40
t:1.90,Throttle:1612,Theta:14.51,theta_d:0.00,Error:-14.51
t:1.95,Throttle:1489,Theta:20.74,theta_d:0.00,Error:-20.74
t:2.00,Throttle:1582,Theta:16.78,theta_d:0.00,Error:-16.78
t:2.05,Throttle:1541,Theta:18.47,theta_d:0.00,Error:-18.47
t:2.10,Throttle:1613,Theta:14.70,theta_d:0.00,Error:-14.70
t:2.15,Throttle:1608,Theta:14.51,theta_d:0.00,Error:-14.51
t:2.20,Throttle:1636,Theta:12.81,theta_d:0.00,Error:-12.81
t:2.25,Throttle:1614,Theta:13.94,theta_d:0.00,Error:-13.94
t:2.30,Throttle:1632,Theta:13.00,theta_d:0.00,Error:-13.00
t:2.35,Throttle:1620,Theta:13.57,theta_d:0.00,Error:-13.57
t:2.40,Throttle:1652,Theta:11.68,theta_d:0.00,Error:-11.68
t:2.45,Throttle:1592,Theta:15.08,theta_d:0.00,Error:-15.08
t:2.50,Throttle:1596,Theta:15.27,theta_d:0.00,Error:-15.27
t:2.55,Throttle:1573,Theta:16.59,theta_d:0.00,Error:-16.59
t:2.60,Throttle:1618,Theta:14.13,theta_d:0.00,Error:-14.13
t:2.65,Throttle:1574,Theta:16.40,theta_d:0.00,Error:-16.40
t:2.70,Throttle:1518,Theta:19.61,theta_d:0.00,Error:-19.61
t:2.75,Throttle:1586,Theta:16.40,theta_d:0.00,Error:-16.40
t:2.80,Throttle:1514,Theta:19.79,theta_d:0.00,Error:-19.79
t:2.85,Throttle:1495,Theta:21.12,theta_d:0.00,Error:-21.12
t:2.90,Throttle:1474,Theta:22.25,theta_d:0.00,Error:-22.25
t:2.95,Throttle:1485,Theta:21.87,theta_d:0.00,Error:-21.87
t:3.00,Throttle:1567,Theta:17.72,theta_d:0.00,Error:-17.72
t:3.05,Throttle:1582,Theta:16.40,theta_d:0.00,Error:-16.40
t:3.10,Throttle:1608,Theta:14.70,theta_d:0.00,Error:-14.70
t:3.15,Throttle:1568,Theta:16.78,theta_d:0.00,Error:-16.78
t:3.20,Throttle:1576,Theta:16.59,theta_d:0.00,Error:-16.59
t:3.25,Throttle:1491,Theta:20.93,theta_d:0.00,Error:-20.93
