=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.20 11:43:14 =~=~=~=~=~=~=~=~=~=~=~=
Setup: Serial port communication at 9600bps
t:3.95,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.00,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.05,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.10,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.15,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.20,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.25,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.30,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.35,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.40,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.45,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.50,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.55,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.60,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.65,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.70,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.75,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.80,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.85,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.90,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:4.95,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.00,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.05,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.10,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.15,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.20,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.25,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.30,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.35,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.40,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.45,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.50,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:5.55,Throttle:1950,Theta:-91.36,theta_d:Setup: Serial port communication at 9600bps
t:0.00,Throttle:1950,Theta:-79.84,theta_d:0.00,Error:79.84
t:0.05,Throttle:1950,Theta:-78.15,theta_d:0.00,Error:78.15
t:0.10,Throttle:1950,Theta:-73.99,theta_d:0.00,Error:73.99
t:0.15,Throttle:1950,Theta:-65.88,theta_d:0.00,Error:65.88
t:0.20,Throttle:1950,Theta:-53.61,theta_d:0.00,Error:53.61
t:0.25,Throttle:1950,Theta:-48.33,theta_d:0.00,Error:48.33
t:0.30,Throttle:1950,Theta:-37.01,theta_d:0.00,Error:37.01
t:0.35,Throttle:1950,Theta:-31.35,theta_d:0.00,Error:31.35
t:0.40,Throttle:1975,Theta:-15.68,theta_d:0.00,Error:15.68
t:0.45,Throttle:1867,Theta:-6.44,theta_d:0.00,Error:6.44
t:0.50,Throttle:1531,Theta:11.30,theta_d:0.00,Error:-11.30
t:0.55,Throttle:1000,Theta:29.61,theta_d:0.00,Error:-29.61
t:0.60,Throttle:1000,Theta:30.93,theta_d:0.00,Error:-30.93
t:0.65,Throttle:1407,Theta:18.85,theta_d:0.00,Error:-18.85
t:0.70,Throttle:1786,Theta:1.87,theta_d:0.00,Error:-1.87
t:0.75,Throttle:1950,Theta:-17.76,theta_d:0.00,Error:17.76
t:0.80,Throttle:1950,Theta:-53.24,theta_d:0.00,Error:53.24
t:0.85,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:0.90,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:0.95,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.00,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.05,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.10,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.15,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.20,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.25,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.30,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.35,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.40,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.45,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.50,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.55,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.60,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.65,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.70,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.75,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.80,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.85,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.90,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.95,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.00,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.05,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.10,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.15,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.20,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.25,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.30,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.35,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.40,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.45,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.50,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.55,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.60,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.65,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.70,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.75,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.80,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.85,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:2.90,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
